bidder_id,auction,merchandise,device,time,country,ip,url
6b18a5b1eb756ed0968e726077ac6f574a163,hfwg0,sporting goods,phone4261,9631916842105263,cz,58.66.142.81,kiepbuv7y92mx3t
94587f4554fd3b271147490c35a27549f89f7,22iq4,jewelry,phone738,9631916842105263,ru,95.161.165.11,4sqivcoh12vctv7
cfe767f0e4cd7c62515326a795a661c422dcc,w69k8,mobile,phone3459,9631916842105263,lt,75.233.227.15,ae97emyjh9trong
73fe2fb4f9d657de35ccf3ad4fc8c1603e43c,k8pyh,jewelry,phone3459,9631916842105263,sa,49.252.224.185,26mecamx4l5vhiq
39ce4ad64b91b87b9f6e31064644f7a011b04,c1ok3,office equipment,phone3311,9631916842105263,tr,54.83.204.113,ae97emyjh9trong
12b58da1a6cf84b45af734fabb7b6dc95c94f,16g0z,jewelry,phone2934,9631916842105263,sa,130.134.60.185,alal2z7xzmegj0c
8c1dc922f26d254bec3a39499374d85399e6a,8z247,sporting goods,phone6664,9631916842105263,my,182.16.225.77,ae97emyjh9trong
94587f4554fd3b271147490c35a27549f89f7,tlhuw,jewelry,phone2539,9631916842105263,th,87.25.123.32,d6ye73u4wcmvyyc
e41a3e528811e5c6ff9a6035cd70b2058a416,rcsi0,sporting goods,phone2206,9631916842105263,ke,9.10.191.169,ae97emyjh9trong
0dc468131164a021d72cf1ec0779fc386c466,bn9rn,home goods,phone375,9631916842105263,vn,243.236.83.47,ae97emyjh9trong
1ac571863f6983c2bf5383910df5a8e49fa63,bqv5h,jewelry,phone7435,9631916842105263,sg,35.253.73.58,skfvgkn46uvt38a
02ea0f9eb4efeba873bf205908f5e7efb11d3,xbybt,home goods,phone3311,9631916842105263,ma,91.179.130.218,ae97emyjh9trong
953db41fab6c2d8c77b33e1892fb6f89db7df,3rvc9,jewelry,phone1509,9631916842105263,ru,78.0.45.88,hynl851vbj7u2uu
e41a3e528811e5c6ff9a6035cd70b2058a416,4tptp,sporting goods,phone4128,9631916842105263,in,229.53.53.155,25edbbf6y3ewcce
95473c3f2eab486f5e5b773c76e7e12ab48d9,u5lqi,mobile,phone375,9631916842105263,tz,44.32.141.187,ae97emyjh9trong
abb401e013875881070004277507cba22009e,0wbi1,home goods,phone1151,9631916842105263,br,235.42.107.103,2ohljjunu8z7xmg
88d76c39cfe85fdbce48714132e2dcef5d515,k8pyh,sporting goods,phone1488,9631916894736842,de,232.95.119.248,ae97emyjh9trong
850e51e72d86ecc2d5899e6512594f5ccb52c,xyqfi,jewelry,phone5071,9631916894736842,ke,221.153.139.90,ae97emyjh9trong
401e5b6153e704c55bb29c0657530d37637cb,8ij0w,jewelry,phone1196,9631916894736842,ng,126.190.121.185,69wek8x1lg0d060
e41a3e528811e5c6ff9a6035cd70b2058a416,mj6nn,sporting goods,phone2934,9631916894736842,ng,114.13.27.164,blsmzgpaiodvepo
850e51e72d86ecc2d5899e6512594f5ccb52c,9ttdb,jewelry,phone1151,9631916894736842,za,209.193.114.223,prcc3g7oucog0jr
d9c2fc9047392c5d201c181d2f69e1e92abdf,h9zor,home goods,phone2885,9631916894736842,no,71.194.213.2,1rmlyfngt8p6abm
e41a3e528811e5c6ff9a6035cd70b2058a416,fl3di,sporting goods,phone5807,9631916894736842,vn,189.39.91.27,ae97emyjh9trong
81189fb49afed8bc0b18019fe069c63f62a9f,k8pyh,jewelry,phone586,9631916894736842,vn,45.198.168.142,9w2ezjc3ja9q34r
e41a3e528811e5c6ff9a6035cd70b2058a416,xlng2,sporting goods,phone4948,9631916894736842,vn,73.227.33.2,m6z9zc8pkvljqdm
0b4f01fb63490962815b451f068fd60387de9,q710r,jewelry,phone1509,9631916947368421,ru,78.0.45.88,dge9kkgaicssgad
15fbc388c755cd7cebc362748d481659b070f,2f96f,sporting goods,phone280,9631916947368421,gr,203.169.160.177,37t2kzezadsu06f
88d76c39cfe85fdbce48714132e2dcef5d515,k8pyh,sporting goods,phone781,9631916947368421,de,204.231.159.21,ae97emyjh9trong
4eb355571b45014e403b82f14069c10f47bde,k8pyh,sporting goods,phone6053,9631916947368421,sa,148.115.156.85,480t9jt54j04psw
e41a3e528811e5c6ff9a6035cd70b2058a416,vo9j6,sporting goods,phone1196,9631916947368421,ng,138.216.191.120,ewgu4uitp8lbtjw
e41a3e528811e5c6ff9a6035cd70b2058a416,0tqnq,sporting goods,phone5444,9631916947368421,ng,212.217.26.127,2ljtg3tjpka76y5
27c088004a101540f5ee811c7351587e60b1a,eo5i6,mobile,phone1196,9631916947368421,my,240.21.245.38,uidxxpmzq9431ts
850e51e72d86ecc2d5899e6512594f5ccb52c,z4glz,jewelry,phone5434,9631916947368421,rs,70.205.80.148,6sr4mcpc3o1vfae
d5796df51dd4f0d4336cb9eaa73f3a9749a95,8ejr5,sporting goods,phone4020,9631916947368421,br,160.26.253.7,ae97emyjh9trong
950788eae164b5b3c78baa4f352820009aefb,k8pyh,sporting goods,phone5792,9631916947368421,us,222.202.55.131,ae97emyjh9trong
3b99acc1a369a4ecc7304a65516a1ed98370c,463ju,mobile,phone22,9631916947368421,kw,120.194.254.149,7vq916kwe70f1wr
eb2ab5fa2c163b9ef7b3e8e990f2bbeb6dc9f,m29d5,books and music,phone1202,9631916947368421,au,231.232.213.221,q585j45kj05uxku
